source,kind,dataset,spearman,n_pairs,n_total,vocab
B26_lad100000_t15_s1,model,MTest-3000,-0.033602596046064984,343,3000,785
B26_lad100000_t15_s1,model,SimVerb-3500,-0.11120189885760032,137,3500,785
B26_lad100000_t15_s2,model,wordsim353,-0.07735742518351214,22,352,829
B26_lad100000_t15_s2,model,simlex999,-0.026463860560504402,77,999,829
B26_lad100000_t15_s2,model,rg65,,1,65,829
B26_lad100000_t15_s2,model,MTest-3000,0.039385010511349045,361,3000,829
B26_lad100000_t15_s2,model,SimVerb-3500,0.0342327263722627,144,3500,829
B26_lad100000_t2_s0,model,wordsim353,,11,352,382
B26_lad100000_t2_s0,model,simlex999,-0.059571705515555184,55,999,382
B26_lad100000_t2_s0,model,rg65,,3,65,382
B26_lad100000_t2_s0,model,MTest-3000,-0.06845280933936503,124,3000,382
B26_lad100000_t2_s0,model,SimVerb-3500,,3,3500,382
B26_lad100000_t2_s1,model,wordsim353,,17,352,399
B26_lad100000_t2_s1,model,simlex999,-0.2139094684348236,57,999,399
B26_lad100000_t2_s1,model,rg65,,6,65,399
B26_lad100000_t2_s1,model,MTest-3000,-0.10197850729511437,125,3000,399
B26_lad100000_t2_s1,model,SimVerb-3500,,3,3500,399
B26_lad100000_t2_s2,model,wordsim353,,18,352,376
B26_lad100000_t2_s2,model,simlex999,0.007920344172022923,51,999,376
B26_lad100000_t2_s2,model,rg65,,2,65,376
B26_lad100000_t2_s2,model,MTest-3000,0.06940576916110089,113,3000,376
B26_lad100000_t2_s2,model,SimVerb-3500,,3,3500,376
B26_lad300000_base_s0,model,wordsim353,0.08562253014391565,148,352,6741
B26_lad300000_base_s0,model,simlex999,0.007598194415235682,551,999,6741
B26_lad300000_base_s0,model,rg65,,17,65,6741
B26_lad300000_base_s0,model,MTest-3000,0.09833388524256054,2008,3000,6741
B26_lad300000_base_s0,model,SimVerb-3500,-0.021254614527542126,1554,3500,6741
B26_lad300000_base_s1,model,wordsim353,-0.006731805997971721,136,352,6721
B26_lad300000_base_s1,model,simlex999,0.0021537155404742856,547,999,6721
B26_lad300000_base_s1,model,rg65,,18,65,6721
B26_lad300000_base_s1,model,MTest-3000,0.1104830883297168,2003,3000,6721
B26_lad300000_base_s1,model,SimVerb-3500,0.03097057739624281,1540,3500,6721
B26_lad300000_base_s2,model,wordsim353,0.05821213098455681,140,352,6732
B26_lad300000_base_s2,model,simlex999,-0.04865826533452286,550,999,6732
B26_lad300000_base_s2,model,rg65,,18,65,6732
B26_lad300000_base_s2,model,MTest-3000,0.11718520302529904,1944,3000,6732
B26_lad300000_base_s2,model,SimVerb-3500,0.016713348288650745,1565,3500,6732
B26_lad300000_filtnat_s0,model,wordsim353,0.03741055580815423,50,352,2323
B26_lad300000_filtnat_s0,model,simlex999,0.127034191492967,239,999,2323
B26_lad300000_filtnat_s0,model,rg65,,11,65,2323
B26_lad300000_filtnat_s0,model,MTest-3000,0.11214552590735284,1015,3000,2323
B26_lad300000_filtnat_s0,model,SimVerb-3500,-0.06432115789735174,555,3500,2323
B26_lad300000_filtnat_s1,model,wordsim353,0.13060301022603052,51,352,2256
B26_lad300000_filtnat_s1,model,simlex999,0.0015406718157427819,197,999,2256
B26_lad300000_filtnat_s1,model,rg65,,11,65,2256
B26_lad300000_filtnat_s1,model,MTest-3000,0.03839508088994863,1041,3000,2256
B26_lad300000_filtnat_s1,model,SimVerb-3500,0.0239057753695352,516,3500,2256
B26_lad300000_filtnat_s2,model,wordsim353,-0.08679317828588128,52,352,2281
B26_lad300000_filtnat_s2,model,simlex999,0.052910965821599945,219,999,2281
B26_lad300000_filtnat_s2,model,rg65,,6,65,2281
B26_lad300000_filtnat_s2,model,MTest-3000,0.05829944844662547,1018,3000,2281
B26_lad300000_filtnat_s2,model,SimVerb-3500,-0.045678617516978416,526,3500,2281
B26_lad300000_t15_s0,model,wordsim353,-0.10331947308766157,44,352,1698
B26_lad300000_t15_s0,model,simlex999,0.07149126311897562,180,999,1698
B26_lad300000_t15_s0,model,rg65,,9,65,1698
B26_lad300000_t15_s0,model,MTest-3000,0.020035199521358363,854,3000,1698
B26_lad300000_t15_s0,model,SimVerb-3500,0.06868004602168343,342,3500,1698
B26_lad300000_t15_s1,model,wordsim353,-0.10639583206350971,43,352,1650
B26_lad300000_t15_s1,model,simlex999,-0.03308296398411857,177,999,1650
B26_lad300000_t15_s1,model,rg65,,11,65,1650
B26_lad300000_t15_s1,model,MTest-3000,0.04026959032473389,831,3000,1650
B26_lad300000_t15_s1,model,SimVerb-3500,0.035816235264188805,334,3500,1650
B26_lad300000_t15_s2,model,wordsim353,0.2288833389386278,46,352,1677
B26_lad300000_t15_s2,model,simlex999,0.023271392458833043,182,999,1677
B26_lad300000_t15_s2,model,rg65,,7,65,1677
B26_lad300000_t15_s2,model,MTest-3000,0.05565631116361108,807,3000,1677
B26_lad300000_t15_s2,model,SimVerb-3500,-0.035728137604668385,329,3500,1677
B26_lad300000_t2_s0,model,wordsim353,0.11967857928375573,26,352,764
B26_lad300000_t2_s0,model,simlex999,0.012276911554112686,115,999,764
B26_lad300000_t2_s0,model,rg65,,7,65,764
B26_lad300000_t2_s0,model,MTest-3000,-0.0019974760339799198,327,3000,764
B26_lad300000_t2_s0,model,SimVerb-3500,,9,3500,764
B26_lad300000_t2_s1,model,wordsim353,0.009476761818500608,31,352,746
B26_lad300000_t2_s1,model,simlex999,-0.042905628052674054,100,999,746
B26_lad300000_t2_s1,model,rg65,,7,65,746
B26_lad300000_t2_s1,model,MTest-3000,0.09603015135342216,315,3000,746
B26_lad300000_t2_s1,model,SimVerb-3500,,13,3500,746
B26_lad300000_t2_s2,model,wordsim353,0.07425062156280478,32,352,756
B26_lad300000_t2_s2,model,simlex999,0.08516085195586297,114,999,756
B26_lad300000_t2_s2,model,rg65,,7,65,756
B26_lad300000_t2_s2,model,MTest-3000,0.10955070852713364,298,3000,756
B26_lad300000_t2_s2,model,SimVerb-3500,,6,3500,756
B26_lad_base_s0,model,wordsim353,0.20880684084359613,254,352,16206
B26_lad_base_s0,model,simlex999,0.10651567762830695,821,999,16206
B26_lad_base_s0,model,rg65,0.28529356422403307,43,65,16206
B26_lad_base_s0,model,MTest-3000,0.2939543816977411,2707,3000,16206
B26_lad_base_s0,model,SimVerb-3500,0.01845516151385733,2486,3500,16206
B26_lad_base_s1,model,wordsim353,0.19496800080651938,254,352,16206
B26_lad_base_s1,model,simlex999,0.08040610832974729,821,999,16206
B26_lad_base_s1,model,rg65,0.18644515883248744,43,65,16206
B26_lad_base_s1,model,MTest-3000,0.3062596298114984,2707,3000,16206
B26_lad_base_s1,model,SimVerb-3500,0.008580640984083543,2486,3500,16206
B26_lad_base_s2,model,wordsim353,0.20401167087070138,254,352,16206
B26_lad_base_s2,model,simlex999,0.07054744987144691,821,999,16206
B26_lad_base_s2,model,rg65,0.32576930546915794,43,65,16206
B26_lad_base_s2,model,MTest-3000,0.2954547135278521,2707,3000,16206
B26_lad_base_s2,model,SimVerb-3500,-0.0007570704402386796,2486,3500,16206
B26_lad_filtnat_s0,model,wordsim353,0.3185110510688458,100,352,5846
B26_lad_filtnat_s0,model,simlex999,0.007052133788971385,456,999,5846
B26_lad_filtnat_s0,model,rg65,0.39505419480265697,27,65,5846
B26_lad_filtnat_s0,model,MTest-3000,0.16270710797061935,2000,3000,5846
B26_lad_filtnat_s0,model,SimVerb-3500,0.03293944632071124,1213,3500,5846
B26_lad_filtnat_s1,model,wordsim353,0.05894107699376761,100,352,5846
B26_lad_filtnat_s1,model,simlex999,0.09082870138000493,456,999,5846
B26_lad_filtnat_s1,model,rg65,-0.004274156667107572,27,65,5846
B26_lad_filtnat_s1,model,MTest-3000,0.17263811854204725,2000,3000,5846
B26_lad_filtnat_s1,model,SimVerb-3500,-0.02306843901206702,1213,3500,5846
B26_lad_filtnat_s2,model,wordsim353,0.10151763383257653,100,352,5846
B26_lad_filtnat_s2,model,simlex999,0.0321335872044376,456,999,5846
B26_lad_filtnat_s2,model,rg65,0.20851778597389078,27,65,5846
B26_lad_filtnat_s2,model,MTest-3000,0.17951177081251657,2000,3000,5846
B26_lad_filtnat_s2,model,SimVerb-3500,0.06959405739932403,1213,3500,5846
B26_lad_t15_s0,model,wordsim353,0.03885645973337498,80,352,4446
B26_lad_t15_s0,model,simlex999,0.013163670391786978,383,999,4446
B26_lad_t15_s0,model,rg65,,18,65,4446
B26_lad_t15_s0,model,MTest-3000,0.15464997074836925,1772,3000,4446
B26_lad_t15_s0,model,SimVerb-3500,-0.014200589666833841,875,3500,4446
B26_lad_t15_s1,model,wordsim353,0.015870783251580613,80,352,4446
B26_lad_t15_s1,model,simlex999,0.13905729523255683,383,999,4446
B26_lad_t15_s1,model,rg65,,18,65,4446
B26_lad_t15_s1,model,MTest-3000,0.13068875158067575,1772,3000,4446
B26_lad_t15_s1,model,SimVerb-3500,-0.030912345626527834,875,3500,4446
B26_lad_t15_s2,model,wordsim353,0.04817497722599433,80,352,4446
B26_lad_t15_s2,model,simlex999,0.09944549292326128,383,999,4446
B26_lad_t15_s2,model,rg65,,18,65,4446
B26_lad_t15_s2,model,MTest-3000,0.13946518860048024,1772,3000,4446
B26_lad_t15_s2,model,SimVerb-3500,0.0021367183289271534,875,3500,4446
B26_lad_t2_s0,model,wordsim353,0.15281641881701755,53,352,1707
B26_lad_t2_s0,model,simlex999,0.12162065435479524,210,999,1707
B26_lad_t2_s0,model,rg65,,8,65,1707
B26_lad_t2_s0,model,MTest-3000,0.23135295515248958,716,3000,1707
B26_lad_t2_s0,model,SimVerb-3500,0.060851771011829425,41,3500,1707
B26_lad_t2_s1,model,wordsim353,0.1641869280799196,53,352,1707
B26_lad_t2_s1,model,simlex999,0.16703895971857396,210,999,1707
B26_lad_t2_s1,model,rg65,,8,65,1707
B26_lad_t2_s1,model,MTest-3000,0.26922258272988464,716,3000,1707
B26_lad_t2_s1,model,SimVerb-3500,-0.03269257038601151,41,3500,1707
B26_lad_t2_s2,model,wordsim353,0.23555501813430513,53,352,1707
B26_lad_t2_s2,model,simlex999,0.16624912685499282,210,999,1707
B26_lad_t2_s2,model,rg65,,8,65,1707
B26_lad_t2_s2,model,MTest-3000,0.1153590194045093,716,3000,1707
B26_lad_t2_s2,model,SimVerb-3500,0.17880656496455896,41,3500,1707
B26_rand_1000000_s0,model,wordsim353,0.2855010911052421,214,352,12219
B26_rand_1000000_s0,model,simlex999,0.07016577659478548,732,999,12219
B26_rand_1000000_s0,model,rg65,0.4183206301880142,27,65,12219
B26_rand_1000000_s0,model,MTest-3000,0.24405742867485683,2537,3000,12219
B26_rand_1000000_s0,model,SimVerb-3500,0.01968297201481108,2182,3500,12219
B26_rand_1000000_s1,model,wordsim353,0.25378887646624076,210,352,12207
B26_rand_1000000_s1,model,simlex999,0.08146659902550508,734,999,12207
B26_rand_1000000_s1,model,rg65,0.4917676711201273,33,65,12207
B26_rand_1000000_s1,model,MTest-3000,0.250933919697226,2535,3000,12207
B26_rand_1000000_s1,model,SimVerb-3500,-0.0035057571577598147,2136,3500,12207
B26_rand_1000000_s2,model,wordsim353,0.12191044264083414,221,352,12276
B26_rand_1000000_s2,model,simlex999,0.05402350001819088,739,999,12276
B26_rand_1000000_s2,model,rg65,0.30955826805419295,30,65,12276
B26_rand_1000000_s2,model,MTest-3000,0.22380176164183663,2538,3000,12276
B26_rand_1000000_s2,model,SimVerb-3500,0.02467852531000121,2149,3500,12276
B26_rand_100000_s0,model,wordsim353,0.037429477470995856,79,352,3655
B26_rand_100000_s0,model,simlex999,0.00421274925170987,364,999,3655
B26_rand_100000_s0,model,rg65,,11,65,3655
B26_rand_100000_s0,model,MTest-3000,0.017356880356226803,1343,3000,3655
B26_rand_100000_s0,model,SimVerb-3500,-0.038450118045125284,979,3500,3655
B26_rand_100000_s1,model,wordsim353,-0.12762705411849273,86,352,3674
B26_rand_100000_s1,model,simlex999,-0.00948891052528118,346,999,3674
B26_rand_100000_s1,model,rg65,,10,65,3674
B26_rand_100000_s1,model,MTest-3000,-0.02991275599512616,1371,3000,3674
B26_rand_100000_s1,model,SimVerb-3500,-0.01254305261746735,999,3500,3674
B26_rand_100000_s2,model,wordsim353,-0.12477534131625388,73,352,3716
B26_rand_100000_s2,model,simlex999,0.0005476300108868714,370,999,3716
B26_rand_100000_s2,model,rg65,,10,65,3716
B26_rand_100000_s2,model,MTest-3000,0.01922265942533048,1421,3000,3716
B26_rand_100000_s2,model,SimVerb-3500,-0.012761656720960655,1008,3500,3716
B26_rand_100000_s3,model,wordsim353,-0.033651213124509645,81,352,3707
B26_rand_100000_s3,model,simlex999,0.061673651131985384,362,999,3707
B26_rand_100000_s3,model,rg65,,12,65,3707
B26_rand_100000_s3,model,MTest-3000,0.002057576848847907,1382,3000,3707
B26_rand_100000_s3,model,SimVerb-3500,-0.032694107299785356,1038,3500,3707
B26_rand_100000_s4,model,wordsim353,-0.010850182578188637,86,352,3676
B26_rand_100000_s4,model,simlex999,-0.012736180805647557,386,999,3676
B26_rand_100000_s4,model,rg65,,13,65,3676
B26_rand_100000_s4,model,MTest-3000,-0.00921743260123122,1407,3000,3676
B26_rand_100000_s4,model,SimVerb-3500,0.06471278333174484,978,3500,3676
B26_rand_100000_s5,model,wordsim353,0.024076583623526552,82,352,3663
B26_rand_100000_s5,model,simlex999,0.033739635740214484,374,999,3663
B26_rand_100000_s5,model,rg65,,13,65,3663
B26_rand_100000_s5,model,MTest-3000,0.025430314528546927,1375,3000,3663
B26_rand_100000_s5,model,SimVerb-3500,-0.04201270093494327,942,3500,3663
B26_rand_100000_s6,model,wordsim353,-0.009341958695459096,85,352,3736
B26_rand_100000_s6,model,simlex999,0.03975035303294149,389,999,3736
B26_rand_100000_s6,model,rg65,,11,65,3736
B26_rand_100000_s6,model,MTest-3000,0.041943057107209074,1410,3000,3736
B26_rand_100000_s6,model,SimVerb-3500,0.002739001165627949,1039,3500,3736
B26_rand_100000_s7,model,wordsim353,0.006375664690630433,77,352,3676
B26_rand_100000_s7,model,simlex999,0.01600292758806125,373,999,3676
B26_rand_100000_s7,model,rg65,,11,65,3676
B26_rand_100000_s7,model,MTest-3000,0.036107599737561724,1387,3000,3676
B26_rand_100000_s7,model,SimVerb-3500,-0.03684938128898913,983,3500,3676
B26_rand_10000_s0,model,wordsim353,,15,352,917
B26_rand_10000_s0,model,simlex999,0.144020275706438,67,999,917
B26_rand_10000_s0,model,rg65,,0,65,917
B26_rand_10000_s0,model,MTest-3000,0.029162306597509388,372,3000,917
B26_rand_10000_s0,model,SimVerb-3500,0.08561291933092033,269,3500,917
B26_rand_10000_s1,model,wordsim353,,14,352,921
B26_rand_10000_s1,model,simlex999,0.2496281270324041,72,999,921
B26_rand_10000_s1,model,rg65,,2,65,921
B26_rand_10000_s1,model,MTest-3000,0.05771728335583343,397,3000,921
B26_rand_10000_s1,model,SimVerb-3500,0.02211078292519031,245,3500,921
B26_rand_10000_s2,model,wordsim353,,17,352,942
B26_rand_10000_s2,model,simlex999,-0.17381297189635656,78,999,942
B26_rand_10000_s2,model,rg65,,1,65,942
B26_rand_10000_s2,model,MTest-3000,0.03572150857972613,366,3000,942
B26_rand_10000_s2,model,SimVerb-3500,0.025838374990016295,269,3500,942
B26_rand_10000_s3,model,wordsim353,,19,352,935
B26_rand_10000_s3,model,simlex999,0.08632612025823454,79,999,935
B26_rand_10000_s3,model,rg65,,2,65,935
B26_rand_10000_s3,model,MTest-3000,0.006527280845623853,383,3000,935
B26_rand_10000_s3,model,SimVerb-3500,0.08427709707959737,269,3500,935
B26_rand_10000_s4,model,wordsim353,,15,352,927
B26_rand_10000_s4,model,simlex999,-0.2205023534515171,75,999,927
B26_rand_10000_s4,model,rg65,,2,65,927
B26_rand_10000_s4,model,MTest-3000,-0.1162215752093681,352,3000,927
B26_rand_10000_s4,model,SimVerb-3500,0.07669646740594005,249,3500,927
B26_rand_10000_s5,model,wordsim353,,12,352,914
B26_rand_10000_s5,model,simlex999,-0.014593070460714761,77,999,914
B26_rand_10000_s5,model,rg65,,0,65,914
B26_rand_10000_s5,model,MTest-3000,-0.03544361442438751,340,3000,914
B26_rand_10000_s5,model,SimVerb-3500,-0.01577765735453551,270,3500,914
B26_rand_10000_s6,model,wordsim353,,13,352,938
B26_rand_10000_s6,model,simlex999,0.01907553982776547,77,999,938
B26_rand_10000_s6,model,rg65,,2,65,938
B26_rand_10000_s6,model,MTest-3000,-0.02349340668547529,353,3000,938
B26_rand_10000_s6,model,SimVerb-3500,0.07310516154723457,273,3500,938
B26_rand_10000_s7,model,wordsim353,,19,352,932
B26_rand_10000_s7,model,simlex999,-0.2585599736386364,72,999,932
B26_rand_10000_s7,model,rg65,,2,65,932
B26_rand_10000_s7,model,MTest-3000,-0.06547707171243597,384,3000,932
B26_rand_10000_s7,model,SimVerb-3500,0.014726534088924449,286,3500,932
B26_rand_300000_s0,model,wordsim353,0.02504360320352969,149,352,6740
B26_rand_300000_s0,model,simlex999,0.046576247256846844,558,999,6740
B26_rand_300000_s0,model,rg65,,17,65,6740
B26_rand_300000_s0,model,MTest-3000,0.07399820898628526,2027,3000,6740
B26_rand_300000_s0,model,SimVerb-3500,-0.01413008181342921,1575,3500,6740
B26_rand_300000_s1,model,wordsim353,-0.09047770042689876,140,352,6716
B26_rand_300000_s1,model,simlex999,0.07194677293321147,560,999,6716
B26_rand_300000_s1,model,rg65,,18,65,6716
B26_rand_300000_s1,model,MTest-3000,0.11025282251226572,1994,3000,6716
B26_rand_300000_s1,model,SimVerb-3500,0.04763243647480694,1541,3500,6716
B26_rand_300000_s2,model,wordsim353,0.04058955680047904,141,352,6716
B26_rand_300000_s2,model,simlex999,-0.04503322501064458,552,999,6716
B26_rand_300000_s2,model,rg65,-0.1850319799900447,20,65,6716
B26_rand_300000_s2,model,MTest-3000,0.12861494761758885,1922,3000,6716
B26_rand_300000_s2,model,SimVerb-3500,0.007696095578205011,1485,3500,6716
B26_rand_300000_s3,model,wordsim353,0.14958144085509717,143,352,6718
B26_rand_300000_s3,model,simlex999,0.012560876985451712,538,999,6718
B26_rand_300000_s3,model,rg65,-0.25657752291692226,24,65,6718
B26_rand_300000_s3,model,MTest-3000,0.09780385473805647,1915,3000,6718
B26_rand_300000_s3,model,SimVerb-3500,0.00883846132765454,1554,3500,6718
B26_rand_300000_s4,model,wordsim353,0.09731924694865841,141,352,6730
B26_rand_300000_s4,model,simlex999,0.04496390667647887,557,999,6730
B26_rand_300000_s4,model,rg65,,18,65,6730
B26_rand_300000_s4,model,MTest-3000,0.11177935569834602,1978,3000,6730
B26_rand_300000_s4,model,SimVerb-3500,0.013165371202125298,1556,3500,6730
B26_rand_30000_s0,model,wordsim353,0.14440690251480257,37,352,1779
B26_rand_30000_s0,model,simlex999,0.004649873909937654,175,999,1779
B26_rand_30000_s0,model,rg65,,2,65,1779
B26_rand_30000_s0,model,MTest-3000,-0.044686539497736724,792,3000,1779
B26_rand_30000_s0,model,SimVerb-3500,0.0009818818342991367,493,3500,1779
B26_rand_30000_s1,model,wordsim353,0.11969815373579111,47,352,1866
B26_rand_30000_s1,model,simlex999,0.10454181492815441,195,999,1866
B26_rand_30000_s1,model,rg65,,4,65,1866
B26_rand_30000_s1,model,MTest-3000,0.0410884143398732,755,3000,1866
B26_rand_30000_s1,model,SimVerb-3500,0.035134512876001334,475,3500,1866
B26_rand_30000_s2,model,wordsim353,0.0987384172788154,36,352,1856
B26_rand_30000_s2,model,simlex999,0.0006760172348282947,191,999,1856
B26_rand_30000_s2,model,rg65,,3,65,1856
B26_rand_30000_s2,model,MTest-3000,-0.050247150369697596,799,3000,1856
B26_rand_30000_s2,model,SimVerb-3500,0.07240231264214037,523,3500,1856
B26_rand_30000_s3,model,wordsim353,0.09861004942374701,38,352,1817
B26_rand_30000_s3,model,simlex999,0.022342804382425988,182,999,1817
B26_rand_30000_s3,model,rg65,,2,65,1817
B26_rand_30000_s3,model,MTest-3000,0.03489829814199183,738,3000,1817
B26_rand_30000_s3,model,SimVerb-3500,0.033701215550882985,506,3500,1817
B26_rand_30000_s4,model,wordsim353,0.006050074129644736,36,352,1848
B26_rand_30000_s4,model,simlex999,-0.020615417304057897,200,999,1848
B26_rand_30000_s4,model,rg65,,3,65,1848
B26_rand_30000_s4,model,MTest-3000,-0.005062280374584473,738,3000,1848
B26_rand_30000_s4,model,SimVerb-3500,-0.00014547723481170903,549,3500,1848
B26_rand_30000_s5,model,wordsim353,-0.0006796043212005589,43,352,1852
B26_rand_30000_s5,model,simlex999,-0.1315071987132931,191,999,1852
B26_rand_30000_s5,model,rg65,,2,65,1852
B26_rand_30000_s5,model,MTest-3000,-0.050355722744333635,833,3000,1852
B26_rand_30000_s5,model,SimVerb-3500,0.02434289754598093,521,3500,1852
B26_rand_30000_s6,model,wordsim353,-0.05672323592412749,47,352,1849
B26_rand_30000_s6,model,simlex999,-0.09274449912612695,177,999,1849
B26_rand_30000_s6,model,rg65,,6,65,1849
B26_rand_30000_s6,model,MTest-3000,0.07143268342153984,818,3000,1849
B26_rand_30000_s6,model,SimVerb-3500,-0.05334412929909541,502,3500,1849
B26_rand_30000_s7,model,wordsim353,-0.13726778248814397,40,352,1876
B26_rand_30000_s7,model,simlex999,0.11905802525624683,191,999,1876
B26_rand_30000_s7,model,rg65,,6,65,1876
B26_rand_30000_s7,model,MTest-3000,-0.07655767864745246,770,3000,1876
B26_rand_30000_s7,model,SimVerb-3500,0.015192204472818995,544,3500,1876
B26_rand_3000_s0,model,wordsim353,,5,352,387
B26_rand_3000_s0,model,simlex999,,19,999,387
B26_rand_3000_s0,model,rg65,,0,65,387
B26_rand_3000_s0,model,MTest-3000,-0.0219249266639389,74,3000,387
B26_rand_3000_s0,model,SimVerb-3500,-0.1294925165839013,91,3500,387
B26_rand_3000_s1,model,wordsim353,,1,352,385
B26_rand_3000_s1,model,simlex999,,15,999,385
B26_rand_3000_s1,model,rg65,,0,65,385
B26_rand_3000_s1,model,MTest-3000,0.027186713631345224,70,3000,385
B26_rand_3000_s1,model,SimVerb-3500,0.012844196306661495,118,3500,385
B26_rand_3000_s2,model,wordsim353,,3,352,388
B26_rand_3000_s2,model,simlex999,,14,999,388
B26_rand_3000_s2,model,rg65,,0,65,388
B26_rand_3000_s2,model,MTest-3000,-0.04590103617640534,74,3000,388
B26_rand_3000_s2,model,SimVerb-3500,-0.03999325750423173,82,3500,388
B26_rand_3000_s3,model,wordsim353,,1,352,381
B26_rand_3000_s3,model,simlex999,,15,999,381
B26_rand_3000_s3,model,rg65,,0,65,381
B26_rand_3000_s3,model,MTest-3000,0.14095830617216448,60,3000,381
B26_rand_3000_s3,model,SimVerb-3500,0.2055217089665635,94,3500,381
B26_rand_3000_s4,model,wordsim353,,0,352,383
B26_rand_3000_s4,model,simlex999,,10,999,383
B26_rand_3000_s4,model,rg65,,0,65,383
B26_rand_3000_s4,model,MTest-3000,0.05659882475614221,64,3000,383
B26_rand_3000_s4,model,SimVerb-3500,-0.15718847811115316,83,3500,383
B26_rand_3000_s5,model,wordsim353,,4,352,379
B26_rand_3000_s5,model,simlex999,,18,999,379
B26_rand_3000_s5,model,rg65,,0,65,379
B26_rand_3000_s5,model,MTest-3000,-0.012938937154523164,83,3000,379
B26_rand_3000_s5,model,SimVerb-3500,0.1490705470141055,92,3500,379
B26_rand_3000_s6,model,wordsim353,,5,352,386
B26_rand_3000_s6,model,simlex999,,19,999,386
B26_rand_3000_s6,model,rg65,,0,65,386
B26_rand_3000_s6,model,MTest-3000,-0.04001993317550665,91,3000,386
B26_rand_3000_s6,model,SimVerb-3500,-0.04395443945365579,92,3500,386
B26_rand_3000_s7,model,wordsim353,,2,352,403
B26_rand_3000_s7,model,simlex999,,16,999,403
B26_rand_3000_s7,model,rg65,,0,65,403
B26_rand_3000_s7,model,MTest-3000,-0.03924455524747231,68,3000,403
B26_rand_3000_s7,model,SimVerb-3500,-0.06302170150936674,107,3500,403
C8_dinov3l_bv_grid4x4_base_s0,model,wordsim353,0.1564363788030348,254,352,16206
C8_dinov3l_bv_grid4x4_base_s0,model,simlex999,0.08310819969306878,821,999,16206
C8_dinov3l_bv_grid4x4_base_s0,model,rg65,0.2473097995854177,43,65,16206
C8_dinov3l_bv_grid4x4_base_s0,model,MTest-3000,0.26011475201476514,2707,3000,16206
C8_dinov3l_bv_grid4x4_base_s0,model,SimVerb-3500,0.012888157156484802,2486,3500,16206
C8_dinov3l_bv_grid4x4_base_s1,model,wordsim353,0.09114576040453477,254,352,16206
C8_dinov3l_bv_grid4x4_base_s1,model,simlex999,0.03854767955342398,821,999,16206
C8_dinov3l_bv_grid4x4_base_s1,model,rg65,0.0895601289491009,43,65,16206
C8_dinov3l_bv_grid4x4_base_s1,model,MTest-3000,0.20541522555337144,2707,3000,16206
C8_dinov3l_bv_grid4x4_base_s1,model,SimVerb-3500,-0.04449849691334412,2486,3500,16206
