encoder,rung,run,category,spearman,n_pairs,model_vocab,spearman_shared,w2v_spearman,partial_model,n_shared,w2v_vocab
dinov3b,vision binding,F_dinov3b_lad_t2_s2,all,0.14379933784947457,1003,1669,0.14379933784947457,-0.04464324802900512,0.1430109942712119,1003,1668
dinov3b,vision binding,F_dinov3b_lad_t2_s2,noun,0.17839625555793084,743,1669,0.17839625555793084,-0.05713166081407948,0.17790214505619692,743,1668
dinov3l,aligned,F_dinov3l_align_170000_s0,all,0.1284626640111303,3673,5678,0.1284626640111303,0.26610461951519376,0.11326164641934093,3673,5677
dinov3l,aligned,F_dinov3l_align_170000_s0,noun,0.13289364075967056,1509,5678,0.13289364075967056,0.32863102900701285,0.10131401167648091,1509,5677
dinov3l,aligned,F_dinov3l_align_170000_s1,all,0.14412444067198915,3673,5678,0.14412444067198915,0.26610461951519376,0.12115464897650972,3673,5677
dinov3l,aligned,F_dinov3l_align_170000_s1,noun,0.22429628258140427,1509,5678,0.22429628258140427,0.32863102900701285,0.18745462276024738,1509,5677
dinov3l,aligned,F_dinov3l_align_170000_s2,all,0.16308480655784124,3673,5678,0.16308480655784124,0.26610461951519376,0.1469207728241609,3673,5677
dinov3l,aligned,F_dinov3l_align_170000_s2,noun,0.171528220542373,1509,5678,0.171528220542373,0.32863102900701285,0.15153603792899,1509,5677
dinov3l,filtnat,F_dinov3l_lad_filtnat_s0,all,0.11644567010079174,3701,5730,0.11644567010079174,0.25781720455623564,0.09577005648620152,3701,5729
dinov3l,filtnat,F_dinov3l_lad_filtnat_s0,noun,0.15337439344342074,1515,5730,0.15337439344342074,0.3147050933951045,0.13502087433098292,1515,5729
dinov3l,filtnat,F_dinov3l_lad_filtnat_s1,all,0.14289024817170334,3701,5730,0.14289024817170334,0.25781720455623564,0.11865617644052057,3701,5729
dinov3l,filtnat,F_dinov3l_lad_filtnat_s1,noun,0.2014493369814048,1515,5730,0.2014493369814048,0.3147050933951045,0.1579951758250638,1515,5729
dinov3l,filtnat,F_dinov3l_lad_filtnat_s2,all,0.11339367693860901,3701,5730,0.11339367693860901,0.25781720455623564,0.08796006097393688,3701,5729
dinov3l,filtnat,F_dinov3l_lad_filtnat_s2,noun,0.15063670491000158,1515,5730,0.15063670491000158,0.3147050933951045,0.10762849677092666,1515,5729
dinov3l,word selection,F_dinov3l_lad_t15_s0,all,0.11761228879311823,3057,4347,0.11761228879311823,0.1670237968609228,0.10690623105008265,3057,4346
dinov3l,word selection,F_dinov3l_lad_t15_s0,noun,0.13934113634438566,1333,4347,0.13934113634438566,0.1500834938700062,0.13379966533823334,1333,4346
dinov3l,word selection,F_dinov3l_lad_t15_s1,all,0.1324570062040167,3057,4347,0.1324570062040167,0.1670237968609228,0.12083322098872504,3057,4346
dinov3l,word selection,F_dinov3l_lad_t15_s1,noun,0.17564523700047102,1333,4347,0.17564523700047102,0.1500834938700062,0.16751354388474238,1333,4346
dinov3l,word selection,F_dinov3l_lad_t15_s2,all,0.11859466645605089,3057,4347,0.11859466645605089,0.1670237968609228,0.1085875441500759,3057,4346
dinov3l,word selection,F_dinov3l_lad_t15_s2,noun,0.15412676106702802,1333,4347,0.15412676106702802,0.1500834938700062,0.1449331603620723,1333,4346
dinov3l,vision binding,F_dinov3l_lad_t2_s0,all,0.14999112916161259,1003,1669,0.14999112916161259,-0.04464324802900512,0.15186667063949585,1003,1668
dinov3l,vision binding,F_dinov3l_lad_t2_s0,noun,0.15925335060953447,743,1669,0.15925335060953447,-0.05713166081407948,0.16274028219175055,743,1668
dinov3l,vision binding,F_dinov3l_lad_t2_s1,all,0.12617710668082807,1003,1669,0.12617710668082807,-0.04464324802900512,0.12576184515639377,1003,1668
dinov3l,vision binding,F_dinov3l_lad_t2_s1,noun,0.09884838990918865,743,1669,0.09884838990918865,-0.05713166081407948,0.0983516702148787,743,1668
dinov3l,vision binding,F_dinov3l_lad_t2_s2,all,0.25429742768576796,1003,1669,0.25429742768576796,-0.04464324802900512,0.25262916965549814,1003,1668
dinov3l,vision binding,F_dinov3l_lad_t2_s2,noun,0.25318777486408156,743,1669,0.25318777486408156,-0.05713166081407948,0.2511722655268509,743,1668
vitb_bv,aligned,F_vitb_bv_align_170000_s0,all,0.0523416913007679,3673,5678,0.0523416913007679,0.26610461951519376,0.0360808739801871,3673,5677
vitb_bv,aligned,F_vitb_bv_align_170000_s0,noun,0.08399172910514614,1509,5678,0.08399172910514614,0.32863102900701285,0.05934845072157312,1509,5677
vitb_bv,aligned,F_vitb_bv_align_170000_s1,all,0.06380422692586304,3673,5678,0.06380422692586304,0.26610461951519376,0.04936930557955568,3673,5677
vitb_bv,aligned,F_vitb_bv_align_170000_s1,noun,0.05040031465653048,1509,5678,0.05040031465653048,0.32863102900701285,0.029444597115318653,1509,5677
vitb_bv,aligned,F_vitb_bv_align_170000_s2,all,0.09083607347905132,3673,5678,0.09083607347905132,0.26610461951519376,0.07853482474365267,3673,5677
vitb_bv,aligned,F_vitb_bv_align_170000_s2,noun,0.11714676656365301,1509,5678,0.11714676656365301,0.32863102900701285,0.09962822633806687,1509,5677
vitb_bv,filtnat,F_vitb_bv_lad_filtnat_s0,all,0.08479709711958341,3701,5730,0.08479709711958341,0.25781720455623564,0.06707817446918488,3701,5729
vitb_bv,filtnat,F_vitb_bv_lad_filtnat_s0,noun,0.09181929471440668,1515,5730,0.09181929471440668,0.3147050933951045,0.0630160075372114,1515,5729
vitb_bv,filtnat,F_vitb_bv_lad_filtnat_s1,all,0.06226909330743736,3701,5730,0.06226909330743736,0.25781720455623564,0.0440565599169246,3701,5729
vitb_bv,filtnat,F_vitb_bv_lad_filtnat_s1,noun,0.06904544749671548,1515,5730,0.06904544749671548,0.3147050933951045,0.033126171179216346,1515,5729
vitb_bv,filtnat,F_vitb_bv_lad_filtnat_s2,all,0.08488073907646153,3701,5730,0.08488073907646153,0.25781720455623564,0.06975698004139712,3701,5729
vitb_bv,filtnat,F_vitb_bv_lad_filtnat_s2,noun,0.10215078633421519,1515,5730,0.10215078633421519,0.3147050933951045,0.07929534857647386,1515,5729
vitb_bv,word selection,F_vitb_bv_lad_t15_s0,all,0.011033762678372562,3057,4347,0.011033762678372562,0.1670237968609228,0.014426097311399981,3057,4346
vitb_bv,word selection,F_vitb_bv_lad_t15_s0,noun,0.023657094560961565,1333,4347,0.023657094560961565,0.1500834938700062,0.02519612051919983,1333,4346
vitb_bv,word selection,F_vitb_bv_lad_t15_s1,all,0.04092598290333058,3057,4347,0.04092598290333058,0.1670237968609228,0.03564106827082222,3057,4346
vitb_bv,word selection,F_vitb_bv_lad_t15_s1,noun,0.03528257048968212,1333,4347,0.03528257048968212,0.1500834938700062,0.027359794818960587,1333,4346
vitb_bv,word selection,F_vitb_bv_lad_t15_s2,all,0.0635449313403637,3057,4347,0.0635449313403637,0.1670237968609228,0.051872200843462515,3057,4346
vitb_bv,word selection,F_vitb_bv_lad_t15_s2,noun,0.06447075324792066,1333,4347,0.06447075324792066,0.1500834938700062,0.055375428600620065,1333,4346
vitb_bv,vision binding,F_vitb_bv_lad_t2_s0,all,0.06000520764426045,1003,1669,0.06000520764426045,-0.04464324802900512,0.062319677447779,1003,1668
vitb_bv,vision binding,F_vitb_bv_lad_t2_s0,noun,0.07388830242229541,743,1669,0.07388830242229541,-0.05713166081407948,0.07799872936657604,743,1668
vitb_bv,vision binding,F_vitb_bv_lad_t2_s1,all,0.0742239241772839,1003,1669,0.0742239241772839,-0.04464324802900512,0.07461773209281952,1003,1668
vitb_bv,vision binding,F_vitb_bv_lad_t2_s1,noun,0.06284013079383828,743,1669,0.06284013079383828,-0.05713166081407948,0.06367860720732817,743,1668
vitb_bv,vision binding,F_vitb_bv_lad_t2_s2,all,0.05941583976008749,1003,1669,0.05941583976008749,-0.04464324802900512,0.059073940767935686,1003,1668
vitb_bv,vision binding,F_vitb_bv_lad_t2_s2,noun,0.09022549876452042,743,1669,0.09022549876452042,-0.05713166081407948,0.09028116470959618,743,1668
vits_bv,aligned,F_vits_bv_align_170000_s0,all,0.0609903402654136,3673,5678,0.0609903402654136,0.26610461951519376,0.047308528885273135,3673,5677
vits_bv,aligned,F_vits_bv_align_170000_s0,noun,0.07745617702804143,1509,5678,0.07745617702804143,0.32863102900701285,0.0605515889877192,1509,5677
vits_bv,aligned,F_vits_bv_align_170000_s1,all,0.05569601061453038,3673,5678,0.05569601061453038,0.26610461951519376,0.0398229572363574,3673,5677
vits_bv,aligned,F_vits_bv_align_170000_s1,noun,0.05725734278212807,1509,5678,0.05725734278212807,0.32863102900701285,0.02883375302757856,1509,5677
vits_bv,aligned,F_vits_bv_align_170000_s2,all,0.04196683185153347,3673,5678,0.04196683185153347,0.26610461951519376,0.030858408978039747,3673,5677
vits_bv,aligned,F_vits_bv_align_170000_s2,noun,0.0494808294501114,1509,5678,0.0494808294501114,0.32863102900701285,0.03506029773355176,1509,5677
vits_bv,filtnat,F_vits_bv_lad_filtnat_s0,all,0.056310986715342265,3701,5730,0.056310986715342265,0.25781720455623564,0.04727518875844484,3701,5729
vits_bv,filtnat,F_vits_bv_lad_filtnat_s0,noun,0.0731105228108979,1515,5730,0.0731105228108979,0.3147050933951045,0.0452697266432614,1515,5729
vits_bv,filtnat,F_vits_bv_lad_filtnat_s1,all,0.06863797151336458,3701,5730,0.06863797151336458,0.25781720455623564,0.057328824440525866,3701,5729
vits_bv,filtnat,F_vits_bv_lad_filtnat_s1,noun,0.09023731115063345,1515,5730,0.09023731115063345,0.3147050933951045,0.0854718502216317,1515,5729
vits_bv,filtnat,F_vits_bv_lad_filtnat_s2,all,0.08444697496742465,3701,5730,0.08444697496742465,0.25781720455623564,0.07547892512742722,3701,5729
vits_bv,filtnat,F_vits_bv_lad_filtnat_s2,noun,0.08264408444987928,1515,5730,0.08264408444987928,0.3147050933951045,0.07012855746241692,1515,5729
vits_bv,word selection,F_vits_bv_lad_t15_s0,all,0.04444187357857648,3057,4347,0.04444187357857648,0.1670237968609228,0.04080066231308014,3057,4346
vits_bv,word selection,F_vits_bv_lad_t15_s0,noun,0.060029145136117755,1333,4347,0.060029145136117755,0.1500834938700062,0.05869052214170811,1333,4346
vits_bv,word selection,F_vits_bv_lad_t15_s1,all,0.040280847470217075,3057,4347,0.040280847470217075,0.1670237968609228,0.036679143029106645,3057,4346
vits_bv,word selection,F_vits_bv_lad_t15_s1,noun,0.03813171432050728,1333,4347,0.03813171432050728,0.1500834938700062,0.03627868827200667,1333,4346
vits_bv,word selection,F_vits_bv_lad_t15_s2,all,0.033533941800671214,3057,4347,0.033533941800671214,0.1670237968609228,0.033994363880740536,3057,4346
vits_bv,word selection,F_vits_bv_lad_t15_s2,noun,0.004359221273384366,1333,4347,0.004359221273384366,0.1500834938700062,0.004003531937408824,1333,4346
vits_bv,vision binding,F_vits_bv_lad_t2_s0,all,0.0612887082953784,1003,1669,0.0612887082953784,-0.04464324802900512,0.061351090799468544,1003,1668
vits_bv,vision binding,F_vits_bv_lad_t2_s0,noun,0.050458544259422346,743,1669,0.050458544259422346,-0.05713166081407948,0.052289461331883225,743,1668
vits_bv,vision binding,F_vits_bv_lad_t2_s1,all,0.07655845758086656,1003,1669,0.07655845758086656,-0.04464324802900512,0.07786595088037032,1003,1668
vits_bv,vision binding,F_vits_bv_lad_t2_s1,noun,0.11269526256534385,743,1669,0.11269526256534385,-0.05713166081407948,0.11462106294146851,743,1668
vits_bv,vision binding,F_vits_bv_lad_t2_s2,all,0.06379674366819306,1003,1669,0.06379674366819306,-0.04464324802900512,0.06419118417279294,1003,1668
vits_bv,vision binding,F_vits_bv_lad_t2_s2,noun,0.06527594458973746,743,1669,0.06527594458973746,-0.05713166081407948,0.06576646709634047,743,1668
